Authors,Year,Paper,Country,MDS,Data Source Primary,Data Source Secondary,Algorithm,Task,Cross Validation,Performance Metric,Sample Size,Dataset,Goal,Abstract,Person,Notes,Wearable Location
Bernabei et al.,2010, Automatic Detection of tic activity in the Tourette Syndrome,Italy,TS,,"Wearable, Video, 3d-Time series",Decision Support System,Walking,NA,"Accuracy, Sensitivity, Specificity",12 TS,Own Recruitment,Develop simple auotmatic quantatative assessment of tic events in non-clinical environments. ,"This study presents a simple decision-support
system for the detection of tic events during the Tourette
Syndrome (TS). The system is based on a triaxial accelerometer
placed on the patient�s trunk. TS is a neurological disorder that
emerges during childhood and that is characterized by a large
spectrum of involuntary/compulsive movements and sounds. 12
subjects with chronic TS participated in the study and the tic
events were both measured by the proposed device and visually
classified through video recording. 3D-acceleration timeseries
were combined through a module operator and their noise was
eliminated by a median filter. Signal to noise ratio was
improved by a nonlinear energy operator. Finally, a timevariant
threshold was used to detect tic events. The automatic
tic recognition showed a performance around 80 % in terms of
sensitivity, specificity and accuracy. In conclusion, this simple,
automatic and unobtrusive method offers an alternative
approach to quantitatively assess the tic events in clinical and
non clinical environments. This overcomes the limitations of
the current motor tic evaluation which is done by clinical
observation and/or video-inspection in specialized neurological
centres.",NC,,Trunk
Canturk et al.,2024,Investigation of Scalograms with a Deep Feature Fusion Approach for Detection of Parkinson's Disease,Turkey,PD  ,,Speech,"Deep feature fusions (AlexNet, GoogleNEt, ResNet50, DenseNet, NasNet)",Sustained phonation of vowel sounds,"10-fold, LOPO","Accuracy, F1-Score, MCC, Precision, Sensitivity, Specificity","20 Patient, 20 Healthy",Istanbul University,"Develop an AI-based system using scalogram images for the early detection and classification of Parkinson's disease, leveraging deep learning models to enhance diagnostic accuracy through a feature fusion approach.","Parkinson's disease (PD) is a neurological condition characterized by motor symptoms such as tremors and rigidity. This study proposes an AI-based system using speech signals transformed into scalogram images via Continuous Wavelet Transform (CWT). The research examines pre-trained deep learning models, hybrid systems, and a deep feature fusion approach involving DenseNet and NasNet. The deep feature fusion system achieved an accuracy of 0.95, demonstrating a significant improvement over baseline methods. The study contributes to the growing body of work on AI-powered PD detection and highlights the potential for remote diagnostic tools using speech signals.",IC,,
Ajay et al.,2018, A Pervasive and Sensor-Free Deep Learning System for Parkinsonian Gait Analysis,United States,PD ,,Video,DL,Walking,NA,Accuracy,"26 PD, 23 Control",Youtube, Detection and analysis of Parkinsonian gait using videos recorded by pervasive devices,"Parkinsonian gait is associated with lifethreatening
consequences such as fall risk in Parkinson
patients. Conventional Parkinsonian gait analysis heavily
relies on expensive sensors and human labor. In this work,
we propose a sensor-free end-to-end system which enables
the automated and accurate Parkinsonian gait detection and
analysis upon the videos recorded by pervasive cameras.
Specifically, we leverage Deep Learning technologies to extract
the human skeleton in the video frame and address the camera
random angle challenge. By analyzing the gait features, we
train a classifier based on a binary decision tree. Out of 16
Parkinsonian gait and 13 healthy gait videos, our system is
able to detect the Parkinsonian Gait with 93.75% accuracy
and healthy gait with 100% accuracy",NC,,
Conelea et al.,2023,Automated Quantification of Eye Tics Using Computer Vision and Deep Learning Techniques,United States,TS,,Videos,DL,Tic Analysis,"Random Split, Disjoint Split",AUC,"54 Video Samples, 11 TS",Own Recruitment,To develop a CV approach to automate eye tic detection with patients in TS,"Background: Tourette syndrome (TS)
tics are typically quantified using �paper and
pencil� rating scales that are susceptible to factors
that adversely impact validity. Video-based methods
to more objectively quantify tics have been developed
but are challenged by reliance on human raters
and procedures that are resource intensive. Computer
vision approaches that automate detection of atypical
movements may be useful to apply to tic
quantification.
Objective: The current proof-of-concept study applied a
computer vision approach to train a supervised deep
learning algorithm to detect eye tics in video, the most
common tic type in patients with TS.
Methods: Videos (N = 54) of 11 adolescent patients with
TS were rigorously coded by trained human raters to
identify 1.5-second clips depicting �eye tic events�
(N = 1775) and �non-tic events� (N = 3680). Clips were
encoded into three-dimensional facial landmarks. Supervised
deep learning was applied to processed data using
random split and disjoint split regimens to simulate
model validity under different conditions.
Results: Area under receiver operating characteristic
curve was 0.89 for the random split regimen, indicating
high accuracy in the algorithm�s ability to properly classify
eye tic vs. non�eye tic movements. Area under receiver
operating characteristic curve was 0.74 for the disjoint
split regimen, suggesting that algorithm generalizability is
more limited when trained on a small patient sample.
Conclusions: The algorithm was successful in
detecting eye tics in unseen validation sets. Automated
tic detection from video is a promising approach for tic
quantification that may have future utility in TS screening,
diagnostics, and treatment outcome measurement.
� 2023 The Authors. Movement Disorders published by
Wiley Periodicals LLC on behalf of International
Parkinson and Movement Disorder Society.",NC,,
Heidarivincheh et al.,2021,"Multimodal Classification of Parkinson�s Disease in Home
Environments with Resiliency to Missing Modalities",United Kingdom,PD ,,"Wearable, Video, Triaxial Accelerometer","DL, VAE",Cooking,LOPO,"Precision, Recall, F1-Score","5 PD, 5 Control",Own Recruitment,Detection of PD using multimodal data (vision and accelerometer) in home environments,"Parkinson�s disease (PD) is a chronic neurodegenerative condition that affects a patient�s
everyday life. Authors have proposed that a machine learning and sensor-based approach that continuously
monitors patients in naturalistic settings can provide constant evaluation of PD and objectively
analyse its progression. In this paper, we make progress toward such PD evaluation by presenting
a multimodal deep learning approach for discriminating between people with PD and without PD.
Specifically, our proposed architecture, named MCPD-Net, uses two data modalities, acquired from
vision and accelerometer sensors in a home environment to train variational autoencoder (VAE)
models. These are modality-specific VAEs that predict effective representations of human movements
to be fused and given to a classification module. During our end-to-end training, we minimise
the difference between the latent spaces corresponding to the two data modalities. This makes our
method capable of dealing with missing modalities during inference. We show that our proposed
multimodal method outperforms unimodal and other multimodal approaches by an average increase
in F1-score of 0.25 and 0.09, respectively, on a data set with real patients. We also show that our
method still outperforms other approaches by an average increase in F1-score of 0.17 when a modality
is missing during inference, demonstrating the benefit of training on multiple modalities.",NC,,
Park et al.,2021,Evaluation for Parkinsonian Bradykinesia by Deep Learning Modeling of Kinematic Parameters,South Korea,Bradykinesia,,"Wearable, IMU",DNN,"Finger tapping, hand movements, rapid alternating movements",5-fold,AUC ,"25 Bradykinesia, 21 Control",Own Recruitment,Classification: PD vs healthy controls using IMU data,"A wearable sensor system is available for monitoring of bradykinesia in patients with Parkinson's disease (PD), however,
it remains unclear whether kinematic parameters would reflect clinical severity of PD, or would help clinical diagnosis of
physicians. The present study investigated whether the classification model using kinematic parameters from the wearable
sensor may show accordance with clinical rating and diagnosis in PD patients. Using the Inertial Measurement Units (IMU)
sensor, we measured the movement of finger tapping (FT), hand movements (HM), and rapid alternating movements (RA)
in 25 PD patients and 21 healthy controls. Through the analysis of the measured signal, 11 objective features were derived.
In addition, a clinician who specializes in movement disorders viewed the test video and evaluated each of the Unified Par-
kinson�s Disease Rating Scale (UPDRS) scores. In all items of FT, HM, RA, the correlation between the linear regression
score obtained through objective features (angle, period, coefficient variances for angle and period, change rates of angle and
period, angular velocity, total angle, frequency, magnitude, and frequency � magnitude) and the clinician�s UPDRS score
was analyzed, and there was a significant correlation (rho > 0.7, p < 0.001). PD patients and controls were classified by deep
learning using objective features. As a result, it showed a high performance with an area under the curve (AUC) about as
high as 0.9 (FT Total = 0.950, HM Total = 0.889, RA Total = 0.888, ALL Total = 0.926. This showed similar performance
to the classification result of binary logistic regression and neurologist, and significantly higher than that of family medicine
specialists. Our results suggest that the deep learning model using objective features from the IMU sensor can be usefully
used to identify and evaluate bradykinesia, especially for general physicians not specializing in neurology.",NC,,
Cole et al.,2014,Dynamical Learning and Tracking of Tremor and Dyskinesia From Wearable Sensors,United States,"Dyskinesia, Tremor",,"Wearable, Triaxial Accelerometer, EMG","DNN, DSVM, HMM",Unconstrained daily living activities,NA,Error Rates,"8 Dyskinesia, 4 Control",Own Recruitment,Tracking: Tremor and dyskinesia with temporal severity ratings,"We have developed and evaluated several dynamical
machine-learning algorithms that were designed to track the
presence and severity of tremor and dyskinesia with 1-s resolution
by analyzing signals collected from Parkinson's disease (PD)
patients wearing small numbers of hybrid sensors with both 3-D
accelerometeric and surface-electromyographic modalities. We
tested the algorithms on a 44-h signal database built from hybrid
sensors worn by eight PD patients and four healthy subjects who
carried out unscripted and unconstrained activities of daily living
in an apartment-like environment. Comparison of the perfor-
mance of our machine-learning algorithms against independent
clinical annotations of disorder presence and severity demon-
strates that, despite their differing approaches to dynamic pattern
classi?cation, dynamic neural networks, dynamic support vector
machines, and hidden Markov models were equally effective in
keeping error rates of the dynamic tracking well below 10%. A
common set of experimentally derived signal features were used to
train the algorithm without the need for subject-speci?clearning.
We also found that error rates below 10% are achievable even
when our algorithms are tested on data from a sensor location
that is different from those used in algorithm training.",NC,,"Wrist, Shin"
Rajinikanth et al.,2023,A Novel System to Monitor Tic Attacks for Tourette Syndrome Using Machine Learning and Wearable Technology: Preliminary Survey Study and Proposal for a New Sensing Device,United States,TS,,"Wearable, Triaxial Gyroscope, Accelerometer, Speech","DNN, LOF, LR, LSTM, RNN",ADL,NA,Accuracy,70 TS,Own Recruitment,Develop a wearable wristband with ML for tic attack detection in TS,"Background: Tourette syndrome is a neurological disorder that is characterized by repeated unintentional physical movement
and vocal sounds, better known as tics. Cases of mild Tourette can have tics numerous times throughout the day, while severe
cases may have tics every 5 to 10 seconds. At certain times, typically during high levels of stress, tics become chained in an
incessant, continuous fashion�this is known as a tic attack. Tic attacks incapacitate the patient, rendering it difficult for them to
move, perform daily actions, and even communicate with others. Caretakers�usually guardians, family members, or nurses�can
help reduce the time tic attacks last with their presence and by providing emotional support to the patient.
Objective: We describe TSBand, a wearable wristband that uses machine learning algorithms and a variety of sensors to monitor
for tic attacks and notify caretakers when an attack occurs.
Methods: We conducted a research survey with 70 Tourette patients to determine the usability and functionality of TSBand;
internal review board approval was not required.
Results: This study has resulted in a smart wristband prototype that costs US $62.74; it uses movement, heart rate, sweat, and
body temperature to detect tic attacks using a hybrid local outlier factoring and regression algorithm. An audio tic attack detection
mechanism is also included, using recurrent neural networks, and a manually activated backup button and backup audio mechanism
are fitted to alert caretakers on the personalized companion app.
Conclusions: TSBand enables the caretaker to provide support faster and prevent excessive self-harm or injury during the attack.
It is an affordable and effective solution, solving a problem that many Tourette patients, often children, face. This study has not
had the opportunity to test TSBand with any Tourette patients, and we aim to perform rigorous testing and analysis after grant
funding is secured.",NC,,Wrist
Torvi et al.,2018,Deep Domain Adaptation to Predict Freezing of Gait in Patients with Parkinson's Disease,United States,FoG,,"Wearable, Accelerometer","DNN,LSTM","Walking, turning, daily tasks",50/50,Accuracy,10 FoG,Daphnet Freezing of Gait,Predict FoG events using domain adaptation and LSTMs,"Freezing of gait (FoG) is a common gait impairment
in patients with advanced Parkinson's disease (PD), which man-
ifests as sudden dif?culties in starting or continuing locomotion.
FoG often results in falls and negatively affect a patient�s quality
of life. Real-time detection algorithms have been developed, which
detect FoG events using signals derived from wearable sensors.
However, predicting FoG before it actually occurs opens the
possibility of preemptive cueing, which can potentially avoid (or
reduce the intensity and duration of) the episodes. Moreover,
human gait involves signi?cant subject-based variability and a
machine learning model trained on a particular patient�s data
may not generalize well to other patients. In this paper, we study
the performance of advanced deep learning algorithms to predict
FoG events in short time durations before their occurrence.
We further study the performance of domain adaptation (or
transfer learning) algorithms to address the domain disparity
between data from different subjects, in order to develop a
better prediction model for a particular subject. To the best of
our knowledge, this is the ?rst research effort to study domain
adaptation algorithms to predict FoG episodes in patients with
PD. Our extensive empirical studies on a publicly available
dataset (collected from 10 PD patients) demonstrate the potential
of our algorithms to accurately identify FoG events before
their onset. We believe this research will serve as a stepping
stone toward the development of more advanced FoG prediction
algorithms for patients with PD.",NC,,"Legs, Hip, Ankle"
Shah et al.,2020,Application of Machine Learning Using Decision Trees for Prognosis of Deep Brain Stimulation of Globus Pallidus Internus for Children With Dystonia,United Kingdom,Dystonia,,Clinical Data,DT,NA,k-fold,"Accuracy, Sensitivity, Specificity",244 Dystonia,Own Recruitment,EXplore role of ML techniques to identify parameters that can help predict deep brain stimulation outcomes with dystonic children,"Background: While Deep Brain Stimulation (DBS) of the Globus pallidus internus is a
well-established therapy for idiopathic/genetic dystonia, benefits for acquired dystonia
are varied, ranging from modest improvement to deterioration. Predictive biomarkers to
aid DBS prognosis for children are lacking, especially in acquired dystonias, such as
dystonic Cerebral Palsy. We explored the potential role of machine learning techniques
to identify parameters that could help predict DBS outcome.
Methods: We conducted a retrospective study of 244 children attending King�s College
Hospital between September 2007 and June 2018 for neurophysiological tests as part
of their assessment for possible DBS at Evelina London Children�s Hospital. For the 133
individuals who underwent DBS and had 1-year outcome data available, we assessed
the potential predictive value of six patient parameters: sex, etiology (including cerebral
palsy), baseline severity (Burke-Fahn-Marsden Dystonia Rating Scale-motor score),
cranial MRI and two neurophysiological tests, Central Motor Conduction Time (CMCT)
and Somatosensory Evoked Potential (SEP). We applied machine learning analysis to
determine the best combination of these features to aid DBS prognosis. We developed
a classification algorithm based on Decision Trees (DTs) with k-fold cross validation for
independent testing. We analyzed all possible combinations of the six features and
focused on acquired dystonias.
Results: Several trees resulted in better accuracy than the majority class classifier.
However, the two features that consistently appeared in top 10 DTs were CMCT
and baseline dystonia severity. A decision tree based on CMCT and baseline
severity provided a range of sensitivity and specificity, depending on the threshold
chosen for baseline dystonia severity. In situations where CMCT was not available,
a DT using SEP alone provided better than the majority class classifier accuracy.Conclusion: The results suggest that neurophysiological parameters can help predict
DBS outcomes, and DTs provide a data-driven, highly interpretable decision support
tool that lends itself to being used in clinical practice to help predict potential benefit of
DBS in dystonic children. Our results encourage the introduction of neurophysiological
parameters in assessment pathways, and data collection to facilitate multi-center
evaluation and validation of these potential predictive markers and of the illustrative
decision support tools presented here.",NC,,
Pardoel et al.,2021,"Grouping successive freezing of gait episodes
has neutral to detrimental effect on freeze
detection and prediction in Parkinson�s
disease",Canada,FoG,,"Wearable, IMU, Accelerometer, Gyroscope, Plantar Pressure",DT,"Walking, Narrow-Passage Walking",LOOCV,"Precision, False Positives, True Positives",7 FoG,Own Recruitment,To examine the effect of merging successive FOG episodes on freeze detection and prediction model performance in Parkinson�s disease,"Freezing of gait (FOG) is an intermittent walking disturbance experienced by people with
Parkinson�s disease (PD). Wearable FOG identification systems can improve gait and
reduce the risk of falling due to FOG by detecting FOG in real-time and providing a cue to
reduce freeze duration. However, FOG prediction and prevention is desirable. Datasets
used to train machine learning models often generate ground truth FOG labels based on
visual observation of specific lower limb movements (event-based definition) or an overall
inability to walk effectively (period of gait disruption based definition). FOG definition ambiguity
may affect model performance, especially with respect to multiple FOG in rapid succession.
This research examined whether merging multiple freezes that occurred in rapid
succession could improve FOG detection and prediction model performance. Plantar pressure
and lower limb acceleration data were used to extract a feature set and train decision
tree ensembles. FOG was labeled using an event-based definition. Additional datasets
were then produced by merging FOG that occurred in rapid succession. A merging threshold
was introduced where FOG that were separated by less than the merging threshold
were merged into one episode. FOG detection and prediction models were trained for merging
thresholds of 0, 1, 2, and 3 s. Merging slightly improved FOG detection model performance;
however, for the prediction model, merging resulted in slightly later FOG
identification and lower precision. FOG prediction models may benefit from using eventbased
FOG definitions and avoiding merging multiple FOG in rapid succession.",NC,,"Thigh, Shank, Feet"
Pardoel et al.,2021,"Early Detection of Freezing of Gait during Walking Using
Inertial Measurement Unit and Plantar Pressure
Distribution Data",Canada,FoG,,"Wearable, IMU, Accelerometer, Gyroscope, Plantar Pressure",DT,"Walking, Double Task Walking",LOOCV,"Sensitivity, Specificity",11 PD,Own Recruitment,Detection and prediction of Freezing of Gait (FOG) in Parkinson's Disease using wearable sensors,"Freezing of gait (FOG) is a sudden and highly disruptive gait dysfunction that appears
in mid to late-stage Parkinson�s disease (PD) and can lead to falling and injury. A system that
predicts freezing before it occurs or detects freezing immediately after onset would generate an
opportunity for FOG prevention or mitigation and thus enhance safe mobility and quality of life.
This research used accelerometer, gyroscope, and plantar pressure sensors to extract 861 features
from walking data collected from 11 people with FOG. Minimum-redundancy maximum-relevance
and Relief-F feature selection were performed prior to training boosted ensembles of decision trees.
The binary classification models identified Total-FOG or No FOG states, wherein the Total-FOG class
included data windows from 2 s before the FOG onset until the end of the FOG episode. Three
feature sets were compared: plantar pressure, inertial measurement unit (IMU), and both plantar
pressure and IMU features. The plantar-pressure-only model had the greatest sensitivity and the
IMU-only model had the greatest specificity. The best overall model used the combination of plantar
pressure and IMU features, achieving 76.4% sensitivity and 86.2% specificity. Next, the Total-FOG
class components were evaluated individually (i.e., Pre-FOG windows, Freeze windows, transition
windows between Pre-FOG and Freeze). The best model detected windows that contained both
Pre-FOG and FOG data with 85.2% sensitivity, which is equivalent to detecting FOG less than 1 s
after the freeze began. Windows of FOG data were detected with 93.4% sensitivity. The IMU and
plantar pressure feature-based model slightly outperformed models that used data from a single
sensor type. The model achieved early detection by identifying the transition from Pre-FOG to FOG
while maintaining excellent FOG detection performance (93.4% sensitivity). Therefore, if used as
part of an intelligent, real-time FOG identification and cueing system, even if the Pre-FOG state were
missed, the model would perform well as a freeze detection and cueing system that could improve
the mobility and independence of people with PD during their daily activities.",NC,,"Feet, Shank, Thigh"
Pardoel et al.,2022,"Prediction of Freezing of Gait in
Parkinson�s Disease Using Unilateral
and Bilateral Plantar-Pressure Data",Canada,FoG,,Plantar Pressure,DT,Walking,LOOCV,"Sensitivity, Specificity, False Positives",7 FoG,Own Recruitment,Prediction of Freezing of Gait in Parkinson�s Disease using plantar pressure data,"Background: Freezing of gait (FOG) is an intermittent walking disturbance experienced
by people with Parkinson�s disease (PD). FOG has been linked to falling, injury, and
overall reduced mobility. Wearable sensor-based devices can detect freezes already in
progress and provide a cue to help the person resume walking. While this is helpful,
predicting FOG episodes before onset and providing a timely cue may prevent the freeze
from occurring. Wearable sensors mounted on various body parts have been used to
develop FOG prediction systems. Despite the known asymmetry of PD motor symptom
manifestation, the difference between the most affected side (MAS) and least affected
side (LAS) is rarely considered in FOG detection and prediction studies.
Methods: To examine the effect of using data from the MAS, LAS, or both limbs for FOG
prediction, plantar pressure data were collected during a series of walking trials and used
to extract time and frequency-based features. Three datasets were created using plantar
pressure data from the MAS, LAS, and both sides together. ReliefF feature selection was
performed. FOG prediction models were trained using the top 5, 10, 15, 20, 25, or 30
features for each dataset.
Results: The best models were the MAS model with 15 features and the LAS and
bilateral models with 5 features. The LAS model had the highest sensitivity (79.5%) and
identified the highest percentage of FOG episodes (94.9%). The MAS model achieved
the highest specificity (84.9%) and lowest false positive rate (1.9 false positives/walking
trial). Overall, the bilateral model was best with 77.3% sensitivity and 82.9% specificity. In
addition, the bilateral model identified 94.2% of FOG episodes an average of 0.8 s before
FOG onset. Compared to the bilateral model, the LAS model had a higher false positive
rate; however, the bilateral and LASmodels were similar in all the other evaluationmetrics.
Conclusion: The LAS model would have similar FOG prediction performance to the
bilateral model at the cost of slightly more false positives. Given the advantages of single
sensor systems, the increased false positive rate may be acceptable to people with PD.
Therefore, a single plantar pressure sensor placed on the LAS could be used to develop
a FOG prediction system and produce performance similar to a bilateral system.",NC,,Feet
Hartog et al.,2022,Home-Based Measurements of Dystonia in Cerebral Palsy Using Smartphone-Coupled Inertial Sensor Technology and Machine Learning: A Proof-of-Concept Study,Netherlands,Dystonia,,"Video, Wearable, IMU, Triaxial Accelerometer, Triaxial Gyroscope, Triaxial Magnetometer","DT, DA, NB, SVM, KNN, Ensemble",ADL,5-fold,"F1-Score, Precision, Recall",12 Dystonia,Own Recruitment,Develop ML model to detect and score Dystonia using IMU data,"Accurate and reliable measurement of the severity of dystonia is essential for the indication,
evaluation, monitoring and fine-tuning of treatments. Assessment of dystonia in children and
adolescents with dyskinetic cerebral palsy (CP) is now commonly performed by visual evaluation
either directly in the doctor�s office or from video recordings using standardized scales. Both methods
lack objectivity and require much time and effort of clinical experts. Only a snapshot of the severity
of dyskinetic movements (i.e., choreoathetosis and dystonia) is captured, and they are known to
fluctuate over time and can increase with fatigue, pain, stress or emotions, which likely happens
in a clinical environment. The goal of this study was to investigate whether it is feasible to use
home-based measurements to assess and evaluate the severity of dystonia using smartphone-coupled
inertial sensors and machine learning. Video and sensor data during both active and rest situations
from 12 patients were collected outside a clinical setting. Three clinicians analyzed the videos and
clinically scored the dystonia of the extremities on a 0�4 scale, following the definition of amplitude
of the Dyskinesia Impairment Scale. The clinical scores and the sensor data were coupled to train
different machine learning models using cross-validation. The average F1 scores (0.67  0.19 for
lower extremities and 0.68  0.14 for upper extremities) in independent test datasets indicate that it
is possible to detected dystonia automatically using individually trained models. The predictions
could complement standard dyskinetic CP measures by providing frequent, objective, real-world
assessments that could enhance clinical care. A generalized model, trained with data from other
subjects, shows lower F1 scores (0.45 for lower extremities and 0.34 for upper extremities), likely
due to a lack of training data and dissimilarities between subjects. However, the generalized model
is reasonably able to distinguish between high and lower scores. Future research should focus on
gathering more high-quality data and study how the models perform over the whole day",NC,,"Forearm, Lower Leg"
Ferreira et al.,2022,"On the classification of tremor signals into dyskinesia, Parkinsonian tremor, and Essential tremor by using machine learning techniques",Brazil,"Dyskinesia, ET, PD",,"Wearable, Triaxial Accelerometer, Gyroscope, IMU","DT, GB, KNN, NN, RF, SVM",Hand tremor classification,LOOCV,Accuracy,"27 Parkinson Tremor, 7 Dyskinesia, 7 ET",Gyroscope and accelerometer data,"Classification: Tremor types (dyskinesia, Parkinsonian tremor, ET)","Parkinson's disease is a neurological disorder that leads to motor symptoms, some of them being the typical
Parkinsonian tremor (PT) and dyskinesia, which is characterized by random movements of the limbs that appear
as medication side effect. Moreover, the Essential Tremor (ET) is a monosymptomatic disorder, usually confused
with PT, due to frequency content overlap of both signals. Unified Parkinson's Disease Rating Scale is used for the
clinical assessment of PD. It considers the forms filled out with patients� symptoms information and their physical
evaluation. This scale is subjective due to the inter-rater variability, justifying the aim of the present work of
developing a methodology to distinguish these three disorders. Thus, five machine learning algorithms - K-
Nearest Neighbours (K-NN), Decision Trees (DT), Random Forest (RF), Na�ve Bayes (NB) and Support Vector
Machines (SVM) - were chosen for classification purposes. First, variables were extracted from the collected
signals (mean, standard deviation, and amplitude peak in time; dominant and second dominant frequencies; first
and second spectral peaks; correlation peak and instant time of it). Next, a Principal Component Analysis was
carried out for reducing the data set to three components that explained 95% of the data variance, which were
then used as inputs for the classification models. DT and RF showed highest accuracy (=1), followed by SVM
(=0.9394) using the Gaussian kernel function, whereas K-NN and NB showed the lowest one (=0.8788).
Considering also precision, recall, and F1-score, DT and RF were found to be the most appropriate models for this
problem.",NC,,Hands
Orphanidou et al.,2018,Predicting Freezing of Gait in Parkinson's Disease Patients Using Machine Learning,United Kingdom,FoG,,"Wearable, Accelerometer","DT, GB, KNN, NN, RF, SVM",Walking,70/30,Accuracy,8 FoG,Daphnet FoG dataset,Prediction: Freezing of gait using wearable sensors and ML classifiers,"Freezing of gait (FoG) is one of the most alarming
motor symptoms of Parkinson's disease, most commonly
experienced by subjects who have suffered from the disease for a
long period of time. Furthermore, freezing of gait can lead to
falls and may result to nursing home admissions which can
negatively affect the quality of life for patients, in addition to
raising a broader set of socioeconomic consequences. In this
research, machine learning algorithms are utilised as means of
identifying the freezing of gait event prior to its onset. An
accelerometer time series dataset containing 237 individual
Freezing of Gait events over 8 patients was considered, from
which features were extracted and presented to 7 machine
learning classifiers. Our simulation
results indicated
that
machine learning algorithms are powerful tools for the early
prediction of freezing of gait, capable of obtaining high sensitivity
and specificity for the identification of the onset of Freezing of
Gait. Support Vector Machines with Polynomial kernel achieved
the highest performance in comparison with the benchmarked
techniques. The classification algorithm was applied to 5 second
windows using 18 features, obtaining balanced accuracies (the
mean value of sensitivity and specificity) of 91%, 90%, and 82%
over the Walk, FoG and Transition classes, respectively.",NC,,"Ankle, Thigh, Trunk"
Jeong et al.,2024,Machine learning-based classification of Parkinson's disease using acoustic features: Insights from multilingual speech tasks,South Korea,PD,,Speech,"DT, GB, KNN, NN, RF, SVM","Sustained Speech, 'pa-ta-ka' sequence",10-fold,"Accuracy, AUC, D-Prime, EER, F1-Score, MCC","100 PD, 100 Control",NA,Automated diagnosis of PD using speech characteristics. Showcase effectiveness of eGeMAPSv2,"This study advances the automation of Parkinson's disease (PD) diagnosis by analyzing speech characteristics,
leveraging a comprehensive approach that integrates a voting-based machine learning model. Given the growing
prevalence of PD, especially among the elderly population, continuous and efficient diagnosis is of paramount
importance. Conventional monitoring methods suffer from limitations related to time, cost, and accessibility,
underscoring the need for the development of automated diagnostic tools. In this paper, we present a robust
model for classifying speech patterns in Korean PD patients, addressing a significant research gap. Our model
employs straightforward preprocessing techniques and a voting-based machine learning approach, demonstrating
superior performance, particularly when training data is limited. Furthermore, we emphasize the
effectiveness of the eGeMAPSv2 feature set in PD analysis and introduce new features that substantially enhance
classification accuracy. The proposed model, achieving an accuracy of 84.73 % and an area under the ROC (AUC)
score of 92.18 % on a dataset comprising 100 Korean PD patients and 100 healthy controls, offers a practical
solution for automated diagnosis applications, such as smartphone apps. Future research endeavors will
concentrate on enhancing the model�s performance and delving deeper into the relationship between highimportance
features and PD.",NC,,
Balaji et al.,2020,Supervised machine learning based gait classification system for early detection and stage classification of Parkinson's disease,India,PD,,VGRF,"DT, GB, KNN, NN, RF, SVM",Walking,10-fold,"Accuracy, AUC, F1-Score, NPV, PPV, Sensitivity, Specificity","73 Control, 93 PD",Phsionet,Classification: Develop ML algorithm on gait classification to classify stages of PD based on H&Y scale,"While diagnosing Parkinson's disease (PD), neurologists often use several clinical manifestations of
the subject and rate the severity level based on the Unified Parkinson Disease Rating Scale (UPDRS).
This kind of rating largely depends on the expertise of the doctors, which is not only subjective but
also inefficient. Hence, in this paper, a machine learning based gait classification system which can
assist the clinician to diagnose the stages of PD is presented. Gait pattern, which plays a significant
role in assessing the human mobility, is a significant biomarker to classify whether the subject is
healthy or affected with PD. Hence, we utilize the vertical ground reaction force (VGRF) gait dataset and
extract the minimal feature vector using the statistical analysis. Subsequently, the normal distribution
of the data is validated using the Shapiro�Wilk test, and from the spatial and temporal features of gait
pattern, the salient biomarkers are identified using the correlation based feature selection technique.
Four supervised machine learning algorithms namely decision tree (DT), support vector machine
(SVM), ensemble classifier (EC) and Bayes classifier (BC) are used for statistical and kinematic analyses
which predict the severity of PD. The classifier efficacy quantified using the accuracy, sensitivity and
specificity highlights that the proposed framework can effectively rate the severity of PD based on
Hohen and Yahr (H&Y) scale. Moreover, comparing the accuracy of the proposed PD classification
approach with those of the other state-of-the-art approaches, which utilized the same gait dataset,
reveal that the proposed method outperforms several other PD classification methods.",NC,,
